county,TotalCasesPer100K,TotalDeathsPer100K,NewPoverty
"Barren, Kentucky",834999.3090423327,11278.732322999676,22.90925192316551
"Barron, Wisconsin",1145972.044622779,13669.033026147537,11.560280435645309
"Barrow, Georgia",1112086.712206554,18548.848852847572,13.171698691061131
"Barry, Michigan",570651.0980253997,5959.03165735568,9.30107873236365
"Barry, Missouri",675973.2188259223,11749.251370133905,20.562752132888864
"Bartholomew, Indiana",879076.5699052133,24313.78357030016,12.401239139020538
"Barton, Kansas",981545.7937710126,9550.37499538183,15.727402371891973
"Barton, Missouri",862703.0648132641,7343.828504438117,20.94201976218389
"Bartow, Georgia",1176830.7299533244,25495.259347319803,14.18903072410668
"Bastrop, Texas",818082.0860209698,10433.840559858541,13.282153263766096
"Bates, Missouri",586406.583358732,10240.780249923804,14.406059128314538
"Bath, Kentucky",496825.0061530889,7432.931331528427,23.940191976372137
"Bath, Virginia",383602.512337371,3903.095558546433,9.3
"Baxter, Arkansas",596675.8328669117,16338.549144623172,12.582911931472513
"Bay, Florida",1064685.176857265,18333.63869040679,15.382792296118634
"Bay, Michigan",701554.8172757474,24802.08827717133,16.378758424299953
"Bayfield, Wisconsin",708777.6592908558,12003.465742468674,10.961370301252998
"Baylor, Texas",597667.9622431982,23820.09994447529,13.1
"Beadle, South Dakota",2036535.814568078,28007.487749821063,23.82684027968948
"Bear Lake, Idaho",534786.2672500841,3803.433187478963,14.563951531470885
"Beaufort, North Carolina",797804.1254543917,17731.84546453631,19.196582551356837
"Beaufort, South Carolina",939926.1638671395,12112.69490731446,11.795996453188785
"Beaver, Oklahoma",715739.2102846649,5711.662075298439,11.722093663911846
"Beaver, Pennsylvania",631215.9180785081,26496.63120461938,10.849412765147688
"Beaver, Utah",675101.3408169629,4412.223261615217,10.502291861552855
"Beaverhead, Montana",944636.7521367521,7788.461538461538,16.33903846153846
"Becker, Minnesota",880841.6785884597,9722.222222222223,12.754065331425847
"Beckham, Oklahoma",1056127.2909320449,12385.181315571808,12.686953114796918
"Bedford, Pennsylvania",629537.1336237753,18715.100938823096,13.6556462334581
"Bedford, Tennessee",1319447.645878687,19439.108720706878,16.972207282195757
"Bedford, Virginia",567194.3506770651,5840.737722940027,8.939708221782487
"Bee, Texas",1368764.704085062,23752.63527758257,18.32143664639922
"Belknap, New Hampshire",347377.57315800805,9669.940214961165,9.198791050461224
"Bell, Kentucky",892205.7592194838,13851.978594051478,37.8640285412647
"Bell, Texas",604662.3240001664,8234.0285165792,14.28070821916994
"Belmont, Ohio",639331.3881751804,12367.721987545181,13.766925053346688
"Beltrami, Minnesota",728444.6092437891,8737.758195737999,19.199007568652256
"Ben Hill, Georgia",1400312.6447429364,41882.81611857341,30.4771364057434
"Benewah, Idaho",634121.546961326,7790.055248618784,15.781237569060774
"Bennett, South Dakota",1265406.9767441861,27296.511627906977,38.08235465116279
"Bennington, Vermont",225977.7001164919,1433.9601708548287,12.761421756254506
"Benson, North Dakota",1863490.909090909,32305.454545454544,33.209920000000004
"Bent, Colorado",1561677.574922494,19910.437478470547,24.5
"Benton, Arkansas",1081847.1704332011,14169.873284012978,10.535913717174363
"Benton, Indiana",938791.018998273,8301.66954519286,14.867184801381692
"Benton, Iowa",940244.0926460266,15316.22865164158,8.68966310535756
"Benton, Minnesota",1159311.4837398373,20294.71544715447,14.106760670731706
"Benton, Mississippi",1185359.9807368168,29484.709848302435,20.15044546111245
"Benton, Missouri",775843.1123797442,10090.918701765515,18.5957712231737
"Benton, Oregon",204223.27731759,2610.794456594409,22.421151514464757
"Benton, Tennessee",917364.1203417111,22186.455367091745,22.36368082208741
"Benton, Washington",943927.1711917871,19993.281862603595,13.561699793732188
"Benzie, Michigan",427442.4464551598,12993.9296758676,10.06831978009392
"Bergen, New Jersey",1022723.2599795291,66247.86762197202,7.21876066189014
"Berkeley, South Carolina",802153.1334297665,11289.534383674107,12.79010125493569
"Berkeley, West Virginia",695990.5026431322,6921.422811576023,13.019020697070154
"Berks, Pennsylvania",852016.365824308,31862.093862815884,13.583415162454871
"Berkshire, Massachusetts",348721.34073314496,18814.725520739565,11.331153572183387
"Bernalillo, New Mexico",724732.2758222137,12166.613568840714,18.011226263419548
"Berrien, Georgia",898811.4021247502,22099.505627432416,23.579083832965186
"Berrien, Michigan",776886.4393215788,19660.789426130057,17.263381908769393
"Bertie, North Carolina",959769.9994978155,21583.88992115703,22.08610455481344
"Bethel Census Area, Alaska",1463557.387091385,6103.46939912012,26.72955950325778
"Bexar, Texas",1016431.2020481987,17255.618909896595,16.49789900021353
"Bibb, Alabama",1156080.6023029229,23348.095659875995,14.916031886625332
"Bibb, Georgia",1132093.9690624531,30137.79617081268,27.369382093644223
"Big Horn, Montana",2297441.685477803,65259.593679458245,26.7422949586155
"Big Horn, Wyoming",740788.5906040268,18582.21476510067,13.029010067114092
"Big Stone, Minnesota",1009307.4022623537,5338.360785870213,11.748819210160748
"Billings, North Dakota",655239.0640895219,0.0,10.3
"Bingham, Idaho",1002360.6427296172,12592.298706165004,13.163003372346756
"Black Hawk, Iowa",1459382.5210589652,25669.374247894106,17.066363567990376
"Blackford, Indiana",888545.9308989684,20640.24889471099,12.812837727198296
"Bladen, North Carolina",909123.937884559,12525.637269264576,24.599525344271903
"Blaine, Idaho",1383496.2702126675,11166.195616920724,14.763702914330723
"Blaine, Montana",1075519.1092386397,34140.83659343966,32.68114655431839
"Blaine, Nebraska",354183.2669322709,0.0,9.8
"Blaine, Oklahoma",831797.5206611571,4824.380165289256,14.635227272727272
"Blair, Pennsylvania",666320.0679835813,15015.713186249359,15.147620574653669
"Blanco, Texas",456398.2324826404,13986.833799260528,10.805618180178556
"Bland, Virginia",753065.6039239729,14546.290619251991,8.405426118945432
"Bleckley, Georgia",1213436.1061115894,44338.367634400194,23.52001721574458
"Bledsoe, Tennessee",2125185.5963366404,8714.355096093805,21.157038784430725
"Blount, Alabama",1092663.0481904729,15032.861081727851,15.604949104340436
"Blount, Tennessee",974441.3418806781,10484.917607267866,12.967370904943564
"Blue Earth, Minnesota",1041199.9939179224,5072.4527498593525,19.087233719038423
"Boise, Idaho",441403.5591274397,5109.070034443168,11.3
"Bolivar, Mississippi",1655931.2822680473,53120.37680021738,36.94576552640319
"Bollinger, Missouri",1016198.266785454,9937.636672876002,19.87849680084231
"Bon Homme, South Dakota",2474870.9122203095,31210.55651176133,9.740949512335051
"Bond, Illinois",1063437.830221909,15152.048843489492,16.660649289655982
"Bonner, Idaho",550221.0010751404,4178.712220762155,13.963440449169754
"Bonneville, Idaho",1171044.5273721968,11342.886127314228,11.997500996340714
"Boone, Arkansas",884249.7043964312,20947.543803074277,15.768743953563366
"Boone, Illinois",1247580.0738282562,19627.875759722585,10.57224169432119
"Boone, Indiana",926664.3391046292,25562.979067811404,6.149232698014695
"Boone, Iowa",947879.155452788,9002.691330882075,9.394230696334484
"Boone, Kentucky",814993.4994752588,6863.92757005686,7.606143387478266
"Boone, Missouri",1050492.8718304131,3667.470459192733,20.6468580494762
"Boone, Nebraska",923651.2973679298,5562.815008400224,7.2351129363449695
"Boone, West Virginia",567520.227233603,10066.276467550353,24.38847908417972
"Borden, Texas",254817.2757475083,5813.953488372093,2.8
"Bosque, Texas",683480.9245335562,14636.591478696742,15.78051239209134
"Botetourt, Virginia",525738.332981387,9363.781712872184,7.663983830583126
"Bottineau, North Dakota",1089821.0795369118,38475.41723049166,8.607968726507293
"Boulder, Colorado",622704.25718633,10460.821637593046,13.64135683214324
"Boundary, Idaho",575951.6029320852,6800.317936942507,18.26050516647532
"Bourbon, Kansas",762661.7876262113,4553.771091685302,17.525730161957036
"Bourbon, Kentucky",615811.5601738523,3566.968077134436,16.655637707948244
"Bowie, Texas",634535.1631334437,23134.511667645646,17.5904394724195
"Bowman, North Dakota",1089429.6342219468,13577.185368877868,8.468133911965282
"Box Butte, Nebraska",774276.7857142857,6982.142857142857,10.846607142857144
"Box Elder, Utah",819334.2531907555,6115.135487332797,10.163297688858226
"Boyd, Kentucky",744390.1332343357,9219.15604504393,19.199104896258717
"Boyd, Nebraska",919765.7393850659,12933.138116154221,9.8
"Boyle, Kentucky",822426.3594531958,3368.824102374635,16.341342827393948
"Bracken, Kentucky",442064.8259303722,4201.680672268908,21.404681872749094
"Bradford, Florida",1182954.2483660132,14550.887021475257,19.08082913165266
"Bradford, Pennsylvania",549283.4627758099,10427.972573359762,12.254313846553798
"Bradley, Arkansas",1165344.7334909951,23003.456430780425,26.381589958159
"Bradley, Tennessee",1185597.0134856175,9444.755271738082,18.326415603958868
"Branch, Michigan",1450198.6542038904,31685.919665617897,15.701720138713457
"Brantley, Georgia",872559.8826788333,18396.610721851066,21.71942860246592
"Braxton, West Virginia",322188.9159986058,508.888114325549,22.225904496340185
"Brazoria, Texas",1005198.6300380063,12440.931227329875,9.905867714851372
"Brazos, Texas",1081029.3561622733,11081.496142014927,25.06875708931014
"Breathitt, Kentucky",532698.101837903,2666.465802952697,35.976461283519136
"Breckinridge, Kentucky",441078.4853183933,4226.902105947676,17.706072732729726
"Bremer, Iowa",1152342.2658744594,20589.3052018916,8.523434784366032
"Brevard, Florida",584148.0649720249,14953.456896809656,13.422709936763331
"Brewster, Texas",1161182.2125813449,12114.967462039045,10.823579175704989
"Briscoe, Texas",677938.4035197989,23067.25329981144,13.9
"Bristol, Massachusetts",968332.1484481596,40963.09621267612,12.08709606187255
"Bristol, Rhode Island",646289.8751733704,19468.466998449865,7.352274210655135
"Bristol city, Virginia",636300.2869356445,10452.655618668385,21.50614276512268
"Broadwater, Montana",573727.19374457,3440.4865334491747,7.874891398783666
"Brooke, West Virginia",647622.1441886679,13473.793731304462,12.989734252395197
"Brookings, South Dakota",1126150.6959076475,8787.132385672316,17.298539929370566
"Brooks, Georgia",1045204.4276665173,43617.63388572525,23.54805809712714
"Brooks, Texas",1214480.7612743068,64239.41525306854,40.70838505033788
"Broome, New York",597549.5094939936,18435.27564194081,17.813861128673697
"Broomfield, Colorado",587315.4644307204,19362.81754118507,5.251817743415833
"Broward, Florida",1252311.0257213227,19023.59057477296,14.037703976267656
"Brown, Illinois",810499.1901045502,13311.736121337064,12.360933588573111
"Brown, Indiana",553721.5965882587,15092.956620243885,10.529572865995869
"Brown, Kansas",1162797.863599014,24969.186524239933,13.268169679539852
"Brown, Minnesota",846440.5973933368,12347.977657172287,7.962302420473003
"Brown, Nebraska",755035.9712230216,4872.4656638325705,16.0
"Brown, Ohio",613281.1251398434,4438.457499029659,17.887805657663417
"Brown, South Dakota",1513468.9546289826,15428.216476434505,11.06121852110671
